,document_title,question_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,yes_no_answer
469,['Boston Tea Party'],['why did the colonists have a problem with the tea act of 1773'],"Act because they believed that it violated their rights as Englishmen to `` No taxation without representation '' , that is , to be taxed only by their own elected representatives and not by a British parliament in which they were not represented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
470,['Easter egg'],['who started the tradition of coloring easter eggs'],to early Christians of Mesopotamia,to early Christians of Mesopotamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
471,['British Hong Kong'],['why was hong kong important to the british empire'],as a centre for international trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
472,['Chymotrypsin'],['where does cleavage of the peptide bond by chymotrypsin occur'],"bonds where the side - chain of the amino acid N - terminal to the scissile amide bond ( the P position ) is a large hydrophobic amino acid ( tyrosine , tryptophan , and phenylalanine )",the digestive systems,"in positions 14 - 15 , 146 - 147 and 148 - 149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
473,['Hypervalent molecule'],['there are five compounds in the family of sulfur-fluorine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
474,['European colonization of the Americas'],['who were the first non native settlers in the us'],The European colonization,", West Norse sailors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
475,['Horse in Chinese mythology'],['which is not true about the chinese horse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
476,['Third-degree atrioventricular block'],['with third degree atrioventricular (av) block if the block is low in the bundle of his the pacemaker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
477,['The Challenge XXX: Dirty 30'],['who got eliminated on the challenge dirty thirty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
478,['Great Pyramid of Giza'],['how long did it take to build the great pyramid of egypt'],a 20 - year period,tomb over a 10 - to 20 - year period,over a 10 - to 20 - year period,over a 10 - to 20 - year period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
479,['NFL season ticket waiting lists'],['where am i on the steelers waiting list'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
480,['Whole genome sequencing'],['which of the following is not a part of a microbes genome'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
481,['NBC Sports Northwest'],['what channel is nbc sports northwest on directv'],is not available on satellite providers DirecTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
482,['Acronym'],['beginning to be a bit of an acronym'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
483,['List of largest companies by revenue'],"[""which is the world's largest company in terms of revenue""]",<Td> Walmart,<Td> Walmart,<Td> Walmart,<Td> Walmart,<Td> Walmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
484,['Love You to the Stars and Back'],['story of love you to the stars and back'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
485,['Back to the Future (franchise)'],['when does the new back to the future movie come out'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
486,['Coriolis force'],['what is the term for circular movement around a central point'],the Coriolis effect,of angular rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
487,['Exocrine gland'],['where do the secretory cells of endocrine glands secrete their products'],an epithelial surface,the bloodstream,the bloodstream,products directly into the bloodstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
488,['The Cosby Show'],['where did the cosbys live in new york'],"in Brooklyn Heights , New York , at 10 Stigwood Avenue","in a brownstone in Brooklyn Heights , New York , at 10 Stigwood Avenue","in Brooklyn , New York",living in Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
489,['Christmas'],['christmas though a christian holiday began as a celebration of'],in pre-Christian festivals that were celebrated around the winter solstice,on the winter solstice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
490,['Beer Hall Putsch'],['where did the beer hall putsch take place'],"in Munich , Bavaria","in Munich , Bavaria","in Munich , Bavaria","in Munich , Bavaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
491,['Ides of March'],['who said beware of the ides of march'],as a haruspex named Spurinna,by the soothsayer,", a seer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
492,['Mean center of the United States population'],['in what state was the united states center of population gravity located during the period 1790'],", Maryland","<Td> Kent County , Maryland",", Maryland",", Maryland",", Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
493,"['Girl, Interrupted']",['where does the girl who was supposed to die take place'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
494,['Martie Maguire'],['who play the wilson sisters in white chicks'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
495,['List of political parties in South Korea'],['what are the political parties in south korea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
496,['Dancing with the Stars (U.S. season 26)'],['who are the stars in dancing with the stars'],Kareem Kareem Abdul - Jabbar,Jamie Jamie Anderson,Johnny Johnny Damon,Jennie Jennie Finch Daigle,Tonya Tonya Harding,Chris Chris Mazdzer,Mirai Mirai Nagasu,Josh Josh Norman,Arike Arike Ogunbowale,Adam Adam Rippon,Kareem Kareem Abdul - Jabbar,Jamie Jamie Anderson,Johnny Johnny Damon,Jennie Jennie Finch Daigle,Tonya Tonya Harding,Chris Chris Mazdzer,Mirai Mirai Nagasu,Josh Josh Norman,Arike Arike Ogunbowale,Adam Adam Rippon,Kareem Kareem Abdul - Jabbar,Jamie Jamie Anderson,Johnny Johnny Damon,Jennie Jennie Finch Daigle,Tonya Tonya Harding,Chris Chris Mazdzer,Mirai Mirai Nagasu,Josh Josh Norman,Arike Arike Ogunbowale,Adam Adam Rippon,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
497,['Presidential system'],['how does the system of checks and balances enable congress to control the presidents foreign policy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
498,['TI-84 Plus series'],['what is the difference between ti 84 plus and silver'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
499,"[""World Teachers' Day""]",['who proclaimed 5th october as world’s teachers day'],the UNESCO / ILO,the UNESCO / ILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
500,['North Pole'],['what is the longitude and latitude of the north pole'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
501,['List of The Next Step episodes'],['when does season 6 of the next step start'],in 2018,in 2018,in 2018,in 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
502,['Total Drama'],['what is the third season of total drama'],"<Td colspan=""6""> Total Drama World Tour","<Td colspan=""1""> World Tour",", Total Drama World Tour",", Total Drama World Tour","<Td colspan=""1""> World Tour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
503,['South Korea at the Olympics'],['how many times has south korea held the winter olympics'],on two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
504,['The Lincoln Lawyer (film)'],['what happens at the end of lincoln lawyer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
505,['Panzer VIII Maus'],['what was the biggest tank in world war 2'],<P> Panzerkampfwagen VIII Maus,<P> Panzerkampfwagen VIII Maus ( `` Mouse '' ),<P> Panzerkampfwagen VIII Maus ( `` Mouse '' ),<P> Panzerkampfwagen VIII Maus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
506,['Bank of America'],['where does bank of america invest its money'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
507,"[""Can't Change Me""]","[""chris cornell she's going to change the world""]",`` Ca n't Change Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
508,['List of tallest buildings in Las Vegas'],['how tall is the tallest building in las vegas'],is The Drew Las Vegas,rises 735 feet ( 224 m ),"rises 1,149 feet",rises 642 feet ( 196 m ),rises 735 feet ( 224 m ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
509,['List of rotorcraft used in World War II'],['did they use helicopters in world war 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES YES YES YES YES
510,['List of Olympic medalists in figure skating'],['who won the ladies ice skating in the olympics'],<Td> Alina Zagitova,<Td> Alina Zagitova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
511,['Dome of the Rock'],['when was the dome of the rock completed'],in 691 CE,completed in 691 CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
512,['List of highest mountains of Tasmania'],['abbreviated name of the highest peak in tasmania'],<Td> Mount Ossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
513,['List of DreamWorks Dragons episodes'],['dragons race to the edge season 5 episode 14 defenders of the wing part 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
514,['Concrete and Gold Tour'],"[""who's opening for foo fighters at fenway""]",<Td> N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
515,['Yakety Yak'],"[""who wrote yakkity yak don't talk back""]",by Jerry Leiber and Mike Stoller,by Jerry Leiber,and Mike Stoller,<Td> Jerry Leiber,", Mike Stoller",by Jerry Leiber,and Mike Stoller,by Jerry Leiber,and Mike Stoller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
516,['Nova Scotia Duck Tolling Retriever'],['nova scotia duck tolling retriever colors red golden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
517,['History of the Bahamas'],['who explored waters of cuba the bahamas and hispaniola'],1492 Christopher Columbus,1492 Christopher Columbus,1492 Christopher Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
518,['Climate of Egypt'],['what was the climate like in ancient egypt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
519,['Republic of Ireland'],['why is southern ireland not part of the united kingdom'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
520,['Jenny Humphrey'],['when does jenny come back to gossip girl'],In the final episode of the series,In the final episode of the series,appearing in the five - year time jump for her brother 's wedding to Serena van der Woodsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
521,['Elizabeth Patterson (actress)'],['who played mrs. trumbull on i love lucy'],<P> Mary Elizabeth Patterson,<P> Mary Elizabeth Patterson,<P> Mary Elizabeth Patterson,<P> Mary Elizabeth Patterson,<P> Mary Elizabeth Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
522,['Slaughter-House Cases'],['where did the butchers in the slaughterhouse cases live'],of New Orleans,of New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
523,['Peripheral nervous system'],['explain the function of the peripheral nervous system'],"is to connect the CNS to the limbs and organs , essentially serving as a relay between the brain and spinal cord and the rest of the body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
524,"[""There's a Riot Going On""]",['yo la tengo theres a riot going on release date'],"on March 16 , 2018","on March 16 , 2018","on March 16 , 2018","on March 16 , 2018","on March 16 , 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
525,['Colonia del Sacramento'],['the bay and the islands of colonia del sacramento'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
526,['Unitary state'],['where is a unitary system of government found'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
527,['List of Marvel Cinematic Universe television series'],['what is the order of the netflix marvel shows'],<Th> Marvel 's Daredevil,<Th> Marvel 's Jessica Jones,<Th> Marvel 's Luke Cage,<Th> Marvel 's Iron Fist,<Th> Marvel 's The Defenders,<Th> Marvel 's The Punisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
528,['Pattern hair loss'],['where do you get male pattern baldness from'],to a combination of genetics and the male hormone dihydrotestosterone,to a combination of genetics and the male hormone dihydrotestosterone,a combination of genetics and the male hormone dihydrotestosterone,to a combination of genetics and the male hormone dihydrotestosterone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
529,['Rock music'],['a type of basic rock popular in the 1980s'],eventually alternative rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
530,['Jenifer Lewis'],['who played mama odie in princess and the frog'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
531,['Philosophical zombie'],['zombies are a particular challenge for which of the following theories of mind'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
532,['Claims adjuster'],['who represents the insured in the investigation of a claim'],<P> Claims adjuster,", Public adjusters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
533,"[""So... How's Your Girl?""]","[""handsome boy modeling school so how's your girl full album""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
534,['Qing dynasty'],['where did the rulers of the qing dynasty originate'],in Manchuria,in Manchuria,the Jurchen Aisin Gioro clan in Manchuria,in Manchuria,in Manchuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
535,['Empiricism'],['what word is used to describe knowledge about the universe and method of obtaining that knowledge'],of epistemology,<P> Empiricism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
536,['List of people considered father or mother of a scientific field'],['who is considered the father of modern cosmology'],) Edwin Hubble,) Edwin Hubble,) Edwin Hubble,) Edwin Hubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
537,['Central India'],['which state is located in the centre of india'],of Chhattisgarh,and Madhya Pradesh,of Chhattisgarh,and Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
538,['IEEE 802.11'],['what is wifi b/g/n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
539,['The Catcher in the Rye'],['what does the end of catcher in the rye mean'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
540,['Bottom bracket'],['difference between press fit and threaded bottom bracket'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
541,['List of winners of the New York City Marathon'],['when was the last time an american won the new york marathon'],<Td> 2017,<Td> 2009,<Td> 2017,<Td> 2017,<Td> 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
542,['Atlantic Charter'],['who were the parties to the atlantic charter in 1941 what were their eight common principles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
543,['Scythe'],['what is the name of the weapon the grim reaper carries'],a scythe,a scythe,a scythe,a scythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
544,['2014 FIFA World Cup statistics'],['who was the top scorer in 2014 world cup'],6 James Rodríguez,6 James Rodríguez,was James Rodríguez,was James Rodríguez,<Li> James Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
545,['Location shooting'],['where do actors stay when filming on location'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
546,"['Praise, My Soul, the King of Heaven']",['praise my soul the king of heaven lyrics praise him praise him'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
547,['Logarithm'],['what does taking the log of something do'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
548,['Captain Phasma'],['who plays captain phasma in star wars the force awakens'],by Gwendoline Christie,by Gwendoline Christie,by Gwendoline Christie,by Gwendoline Christie,by Gwendoline Christie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
549,['Brown v. Board of Education'],['when did the brown vs board of education start and end'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
550,['So You Think You Can Dance: The Next Generation (U.S. TV series)'],['who won so you think you can dance season 13'],and Kida,"<Td colspan=""2""> Leon `` Kida '' Burns","<Td colspan=""2""> Leon `` Kida '' Burns",and Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
551,['Overshoot (population)'],['when does a dieback or population crash occur'],occurs when a population temporarily exceeds the long term carrying capacity of its environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
552,['When a Man Loves a Woman (song)'],['who wrote when a man loves a woman'],by Calvin Lewis and Andrew Wright,by Percy Sledge,by Calvin Lewis,and Andrew Wright,by Calvin Lewis,and Andrew Wright,by Calvin Lewis,and Andrew Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
553,['Salisbury steak'],"[""what's the difference between salisbury steak and hamburger steak""]",in ingredients,in ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
554,['Meninges'],['what are the 3 layers of the meninges'],the dura mater,the arachnoid mater,the pia mater,the dura mater,the arachnoid mater,the pia mater,the dura mater,", the arachnoid mater",and the pia mater,the dura mater,the arachnoid mater,the pia mater,the dura mater,the arachnoid mater,the pia mater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
555,['Cell-mediated immunity'],['select statements that apply to b cell maturation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
556,['Brownie points'],['where does the saying brownie points come from'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
557,['Give U My Heart'],['toni braxton ft babyface give you my heart'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
558,['Lauryn Hill'],['lauren hill there for me there for me'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
559,['Puss in Boots (2011 film)'],['who did puss in boots grew up with'],with Humpty Alexander Dumpty,", Humpty Dumpty",and Kitty Softpaws,"with Humpty Alexander Dumpty , a talking egg","with Humpty Alexander Dumpty , a talking egg",with Humpty Alexander Dumpty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
560,['Nuclear power'],['when was the first nuclear power plant opened'],"<P> On June 27 , 1954",", the USSR","on December 2 , 1942","on December 20 , 1951","On June 27 , 1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
561,['Fundamental rights in India'],['fundamental rights are enshrined in the constitution of india through which of the following article'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
562,['List of Drama Stage episodes'],['chief b and the love letter ep 1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
563,['Grace Zabriskie'],"[""actress who played susan's mother on seinfeld""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
564,['Flag of Mexico'],['what do the colors and symbols on the mexican flag represent'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
565,['Waters (name)'],['where does the last name waters come from'],in Wales and Yorkshire,"from `` Wat '' , or `` Wa'ter '' , an old pronunciation of Gaultier or Walter",from the surname Watson ( `` Wat 's son '' ),in Wales,and Yorkshire,in Wales,and Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
566,['Gunfighter Ballads and Trail Songs'],['marty robbins gunfighter ballads and trail songs / more gunfighter ballads songs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
567,['Coahuila y Tejas'],['under the constitution of coahuila y tejas the governor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
568,['Sweden during World War II'],['how does sweden view its role during war-time'],'s long - standing policy of neutrality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
569,['Daylight saving time in the United States'],['what states do not allow daylight savings time'],being Arizona,the Navajo,"being Arizona ( except for the Navajo , who do observe daylight saving time on tribal lands )",", Hawaii",being Arizona,", Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
570,['Judiciary of New York (state)'],['in new york the supreme court ranks below the court of appeals'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE YES NONE NONE
571,['Spies Like Us'],['where was the movie spies like us filmed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
572,['List of sovereign states'],['list of all the countries in the world wikipedia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
573,['Where Are Ü Now'],['when did where are you now come out'],"<Td> February 27 , 2015","<Td> February 27 , 2015","on February 27 , 2015","on February 27 , 2015","on February 27 , 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
574,['Dragon Ball Z'],['when did dragon ball z air in australia'],in Fall 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
575,"['New York, I Love You XOXO']",['who ends up together in the end of gossip girl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
576,['Printmaking'],['how does printmaking differ from other forms of art'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
577,['Folk arts of Karnataka'],['mention the names of any 3 famous folklore sports in karnataka state'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
578,['List of Passport Offices in India'],['list of passport seva kendra in andhra pradesh'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
579,['List of Game of Thrones characters'],['game of thrones queen of the north actress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
580,['Subdural hematoma'],['which type of hematoma is a result of torn bridging meningeal veins'],A subdural hematoma ( SDH ),<P> A subdural hematoma ( SDH ),<P> A subdural hematoma,A subdural hematoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
